info.promut.indicator   | info.promut.indicator_name | info.promut.indicator_descr | info.promut.indicator_category#info.promut.categorizes | info.promut.indicator_type | info.promut.indicator_formula | info.promut.indicator_objective | info.promut.indicator_uri | dmx.base.url
ecogood-a3 | A3 Ökologische Nachhaltigkeit in der Zulieferkette |  | Ökologische Nachhaltigkeit, Lieferant:innen | | | | https://web.ecogood.org/de/unsere-arbeit/gemeinwohl-bilanz/gemeinwohl-matrix/, https://web.ecogood.org/media/filer_public/73/da/73dab961-6125-4f69-bf7a-3c8613a90739/gwoe_arbeitsbuch_5_0_vollbilanz.pdf | 
ecogood-a3-1 | A3.1 Umweltauswirkungen in der Zulieferkette |  | Ökologische Nachhaltigkeit, Lieferant:innen | | | | https://web.ecogood.org/de/unsere-arbeit/gemeinwohl-bilanz/gemeinwohl-matrix/, https://web.ecogood.org/media/filer_public/73/da/73dab961-6125-4f69-bf7a-3c8613a90739/gwoe_arbeitsbuch_5_0_vollbilanz.pdf |  
ecogood-a3-2 | A3.2 Negativaspekt: unverhältnismäßig hohe Umweltauswirkungen in der Zulieferkette |  | Ökologische Nachhaltigkeit, Lieferant:innen | | | | https://web.ecogood.org/de/unsere-arbeit/gemeinwohl-bilanz/gemeinwohl-matrix/, https://web.ecogood.org/media/filer_public/73/da/73dab961-6125-4f69-bf7a-3c8613a90739/gwoe_arbeitsbuch_5_0_vollbilanz.pdf | 
ecogood-b3 | B3 Sozial-ökologische Investitionen und Mittelverwendung | | Ökologische Nachhaltigkeit, Eigentümer:innen & Finanzpartnerinn:en | | | | https://web.ecogood.org/de/unsere-arbeit/gemeinwohl-bilanz/gemeinwohl-matrix/, https://web.ecogood.org/media/filer_public/73/da/73dab961-6125-4f69-bf7a-3c8613a90739/gwoe_arbeitsbuch_5_0_vollbilanz.pdf | 
ecogood-b3-1 | B3.1 Ökologische Qualität der Investitionen | | Ökologische Nachhaltigkeit, Eigentümer:innen & Finanzpartnerinn:en | | | | https://web.ecogood.org/de/unsere-arbeit/gemeinwohl-bilanz/gemeinwohl-matrix/, https://web.ecogood.org/media/filer_public/73/da/73dab961-6125-4f69-bf7a-3c8613a90739/gwoe_arbeitsbuch_5_0_vollbilanz.pdf | 
ecogood-b3-2 | B3.2 Gemeinwohlorientierte Veranlagung | | Ökologische Nachhaltigkeit, Eigentümer:innen & Finanzpartnerinn:en | | | | https://web.ecogood.org/de/unsere-arbeit/gemeinwohl-bilanz/gemeinwohl-matrix/, https://web.ecogood.org/media/filer_public/73/da/73dab961-6125-4f69-bf7a-3c8613a90739/gwoe_arbeitsbuch_5_0_vollbilanz.pdf |  
ecogood-b3-3 | B3.3 Negativaspekt: Abhängigkeit von ökologisch bedenklichen Ressourcen | | Ökologische Nachhaltigkeit, Eigentümer:innen & Finanzpartnerinn:en | | | | https://web.ecogood.org/de/unsere-arbeit/gemeinwohl-bilanz/gemeinwohl-matrix/, https://web.ecogood.org/media/filer_public/73/da/73dab961-6125-4f69-bf7a-3c8613a90739/gwoe_arbeitsbuch_5_0_vollbilanz.pdf | 
ecogood-c3 | C3 Förderung des ökologischen Verhaltens der Mitarbeitenden | | Ökologische Nachhaltigkeit, Mitarbeiter:innen | | | | https://web.ecogood.org/de/unsere-arbeit/gemeinwohl-bilanz/gemeinwohl-matrix/, https://web.ecogood.org/media/filer_public/73/da/73dab961-6125-4f69-bf7a-3c8613a90739/gwoe_arbeitsbuch_5_0_vollbilanz.pdf | 
ecogood-c3-1 | C3.1 Ernährung während der Arbeitszeit | | Ökologische Nachhaltigkeit, Mitarbeiter:innen | | | | https://web.ecogood.org/de/unsere-arbeit/gemeinwohl-bilanz/gemeinwohl-matrix/, https://web.ecogood.org/media/filer_public/73/da/73dab961-6125-4f69-bf7a-3c8613a90739/gwoe_arbeitsbuch_5_0_vollbilanz.pdf |  
ecogood-c3-2 | C3.2 Mobilität zum Arbeitsplatz | | Ökologische Nachhaltigkeit, Mitarbeiter:innen | | | | https://web.ecogood.org/de/unsere-arbeit/gemeinwohl-bilanz/gemeinwohl-matrix/, https://web.ecogood.org/media/filer_public/73/da/73dab961-6125-4f69-bf7a-3c8613a90739/gwoe_arbeitsbuch_5_0_vollbilanz.pdf | 
