info.promut.indicator   | info.promut.indicator_name | info.promut.indicator_descr | info.promut.indicator_category#info.promut.categorizes | info.promut.indicator_type | info.promut.indicator_formula | info.promut.indicator_objective | info.promut.indicator_uri | dmx.base.url
oecd-sustoolkit-i1 | I.1 Non-renewable materials intensity of inputs | <p>Your use of materials in finite supply as a proportion of your production. Materials collected for each input are D1, D2 and D3.</p> | Inputs | | Weight of non-renewable resources consumed (t) / Normalizaton factor | | | https://www.oecd.org/innovation/green/toolkit/i1non-renewablematerialsintensityofinputs.htm 
oecd-sustoolkit-i2  | I.2 Restricted substances intensity of inputs | <p>Your use of substances restricted by law as a proportion of your problem. Materials collected for each input are D1, D2 and D4.</p> | Inputs | | Weight of restricted substances consumed (t) / Normalization factor | | | https://www.oecd.org/innovation/green/toolkit/i2restrictedsubstancesintensityofinputs.htm 
oecd-sustoolkit-i3  | I.3 Recycled/reused content of non-energy material inputs | <p>Your use of recycled material and reused materials as a proportion of overall materials used. Materials collected for each input are D1, D2, D5 and D6.</p> | Inputs | | (Total weight of recycled material + Total weight of reused material) / Total weight of material inputs x 100 | | | https://www.oecd.org/innovation/green/toolkit/i3recycledreusedcontentofnon-energymaterialinputs.htm
oecd-sustoolkit-o1  | O.1 Water intensity | <p>Note: Indicators O1, O2 and O4 can be extended to measure the impact associated with your supply chain as well as your facility: namely, water and energy consumed and greenhouse gas emissions caused during the production of inputs</p> | Operations, Inputs | | Total water intake / Normalisation factor | | | https://www.oecd.org/innovation/green/toolkit/o1waterintensity.htm 
oecd-sustoolkit-o2 | O.2 Energy intensity | <p>Note: Indicators O1, O2 and O4 can be extended to measure the impact associated with your supply chain as well as your facility: namely, water and energy consumed and greenhouse gas emissions caused during the production of inputs</p> | Operations, Inputs | | (Energy consumed in production processes + Energy consumed in overhead) / Normalisation factor | | | https://www.oecd.org/innovation/green/toolkit/o2energyintensity.htm
oecd-sustoolkit-o3 | O.3 Renewable proption of energy | | Operations | | Renewable energy consumed / Total energy consumed x 100 | | | https://www.oecd.org/innovation/green/toolkit/o3renewableproportionofenergyconsumed.htm
oecd-sustoolkit-o4 | O.4 Greenhouse gas intensity |<p>Note: Indicators O1, O2 and O4 can be extended to measure the impact associated with your supply chain as well as your facility: namely, water and energy consumed and greenhouse gas emissions caused during the production of inputs</p> | Operations, Inputs | | GHGs released in energy consumption for production + GHGs released in energy consumption for overhead + GHGs released by transport used for business travel + Additional GHGs released from production process) / Normalisation factor| | | https://www.oecd.org/innovation/green/toolkit/o4greenhousegasintensity.htm
oecd-sustoolkit-o5a | O.5a Residuals intensity (mass balance approach) | | Operations | | (Weights of all inputs + Weight of fuel consumed – Weight of all products) / Normalisation factor | | | https://www.oecd.org/innovation/green/toolkit/o5residualsintensity.htm
oecd-sustoolkit-o5b | O.5b Residuals intensity (waste output approach) | | Operations | | (Weight of releases [from production processes and, if available, overhead] to air + Weight of releases to surface water + Weight of releases to land + Weight of releases from landfills + Weight of transfers to disposal + Weight of transfers for treatment + Weight of transfers to recycling + Weight of transfers for energy recovery + Weight of transfers to sewage + Weight of additional GHGs produced + Carbon content of direct energy use) / Normalisation factor | | | https://www.oecd.org/innovation/green/toolkit/o5residualsintensity.htm
oecd-sustoolkit-o6 | O.6 Air releases intensity | <p>Although releases to air are included in the overall residuals intensity indicator (O5), they are of  specific interest because they are often implicated in environmental or human health issues. For example, sulphur dioxide (SO2) from industrial processes and fossil fuel combustion contribute to acid rain. Ground level ozone and fine particulate matter contribute to the formation of smog, aggravating respiratory and cardiac conditions. The indicator represents the intensity of the weight of all releases to air during the reference year. Although it might be difficult or insignificant to track, it is recommended to track the releases to air from overhead as well as production processes.</p> | Operations | | Weight of releases [from production processes and, if available, overhead] to air / Normalisation factor | | | https://www.oecd.org/innovation/green/toolkit/o6intensityofresidualreleasestoair.htm 
oecd-sustoolkit-o7 | O.7 Water releases intensity | | Operations | | Weight of releases [from production processes and, if available, overhead] to surface water / Normalisation factor | | | https://www.oecd.org/innovation/green/toolkit/o7intensityofresidualreleasestosurfacewater.htm
oecd-sustoolkit-o8 | O.8 Proportion of natural land | | Operations | | Natural cover area / Total land area x 100 | | | https://www.oecd.org/innovation/green/toolkit/o8proportionoflandoccupiedthatisnaturalcover.htm
oecd-sustoolkit-p1 | P.1 Recycled/reused content | | Products | | | | | https://www.oecd.org/innovation/green/toolkit/p1recycledreusedcontentofproducts.htm
oecd-sustoolkit-p2 | P.2 Recyclability | | Products | | | | | https://www.oecd.org/innovation/green/toolkit/p2recyclabilityofproducts.htm
oecd-sustoolkit-p3 | P.3 Renewable materials content | | Products | | | | | https://www.oecd.org/innovation/green/toolkit/p3renewablematerialscontentofproducts.htm
oecd-sustoolkit-p4 | P.4 Non-renewable materials intensity | | Products | | | | | https://www.oecd.org/innovation/green/toolkit/p4non-renewablematerialsintensityoverproductlifetime.htm
oecd-sustoolkit-p5 | P.5 Restricted substances content | | Products | | | | | https://www.oecd.org/innovation/green/toolkit/p5restrictedsubstancescontentofproducts.htm
oecd-sustoolkit-p6 | P.6 Energy consumption intensity | | Products | | | | | https://www.oecd.org/innovation/green/toolkit/p6intensityofenergyconsumptionofproducts.htm
oecd-sustoolkit-p7 | P.7 Greenhouse gas emissions intensity | | Products | | | | | https://www.oecd.org/innovation/green/toolkit/p7intensityofgreenhousegasemissionsfromproducts.htm
